Episode,Character 1,Character 2,Interaction,Saga,Arc,Filler
1,luffy,sailors on a cruise ship,Perception,East Blue Saga,Romance Dawn,False
1,luffy,alvida pirates,Confrontation,East Blue Saga,Romance Dawn,False
1,luffy,koby,Communication,East Blue Saga,Romance Dawn,False
1,luffy,koby,Cooperation,East Blue Saga,Romance Dawn,False
1,koby,alvida,Confrontation,East Blue Saga,Romance Dawn,False
1,koby,luffy,Communication,East Blue Saga,Romance Dawn,False
1,alvida,koby,Confrontation,East Blue Saga,Romance Dawn,False
1,alvida,luffy,Confrontation,East Blue Saga,Romance Dawn,False
1,luffy,alvida,Physical,East Blue Saga,Romance Dawn,False
1,luffy,nami,Perception,East Blue Saga,Romance Dawn,False
1,luffy,zoro,Other,East Blue Saga,Romance Dawn,False
2,luffy,koby,Cooperation,East Blue Saga,Romance Dawn,False
2,luffy,zoro,Perception,East Blue Saga,Romance Dawn,False
2,koby,zoro,Perception,East Blue Saga,Romance Dawn,False
2,rika,zoro,Communication,East Blue Saga,Romance Dawn,False
2,rika,helmeppo,Confrontation,East Blue Saga,Romance Dawn,False
2,helmeppo,zoro,Confrontation,East Blue Saga,Romance Dawn,False
2,rika,helmeppo,Confrontation,East Blue Saga,Romance Dawn,False
2,luffy,helmeppo,Confrontation,East Blue Saga,Romance Dawn,False
2,luffy,morgan,Confrontation,East Blue Saga,Romance Dawn,False
2,luffy,helmeppo,Physical,East Blue Saga,Romance Dawn,False
2,koby,morgan,Confrontation,East Blue Saga,Romance Dawn,False
2,luffy,morgan,Physical,East Blue Saga,Romance Dawn,False
2,luffy,koby,Cooperation,East Blue Saga,Romance Dawn,False
2,luffy,zoro,Cooperation,East Blue Saga,Romance Dawn,False
2,luffy,helmeppo,Physical,East Blue Saga,Romance Dawn,False
2,luffy,morgan,Confrontation,East Blue Saga,Romance Dawn,False
2,luffy,helmeppo,Confrontation,East Blue Saga,Romance Dawn,False
2,koby,zoro,Cooperation,East Blue Saga,Romance Dawn,False
2,luffy,morgan,Confrontation,East Blue Saga,Romance Dawn,False
2,luffy,helmeppo,Physical,East Blue Saga,Romance Dawn,False
2,luffy,morgan,Confrontation,East Blue Saga,Romance Dawn,False
2,luffy,helmeppo,Physical,East Blue Saga,Romance Dawn,False
2,koby,morgan,Confrontation,East Blue Saga,Romance Dawn,False
2,luffy,morgan,Physical,East Blue Saga,Romance Dawn,False
2,luffy,koby,Cooperation,East Blue Saga,Romance Dawn,False
2,luffy,zoro,Cooperation,East Blue Saga,Romance Dawn,False
3,luffy,zoro,Cooperation,East Blue Saga,Romance Dawn,False
3,luffy,morgan,Confrontation,East Blue Saga,Romance Dawn,False
3,zoro,morgan,Confrontation,East Blue Saga,Romance Dawn,False
3,luffy,helmeppo,Physical,East Blue Saga,Romance Dawn,False
3,zoro,helmeppo,Confrontation,East Blue Saga,Romance Dawn,False
3,luffy,koby,Emotional,East Blue Saga,Romance Dawn,False
3,zoro,koby,Communication,East Blue Saga,Romance Dawn,False
3,luffy,ripper,Confrontation,East Blue Saga,Romance Dawn,False
3,zoro,ripper,Confrontation,East Blue Saga,Romance Dawn,False
3,koby,ripper,Communication,East Blue Saga,Romance Dawn,False
3,nami,buggy,Confrontation,East Blue Saga,Romance Dawn,False
4,luffy,shanks,Emotional,East Blue Saga,Orange Town,False
4,luffy,shanks,Communication,East Blue Saga,Orange Town,False
4,luffy,buggy,Confrontation,East Blue Saga,Orange Town,False
4,luffy,zoro,Cooperation,East Blue Saga,Orange Town,False
4,luffy,higuma,Confrontation,East Blue Saga,Orange Town,False
4,shanks,higuma,Confrontation,East Blue Saga,Orange Town,False
4,shanks,luffy,Physical,East Blue Saga,Orange Town,False
4,shanks,sea king,Confrontation,East Blue Saga,Orange Town,False
4,luffy,sea king,Confrontation,East Blue Saga,Orange Town,False
4,shanks,luffy,Physical,East Blue Saga,Orange Town,False
4,shanks,luffy,Emotional,East Blue Saga,Orange Town,False
4,luffy,nami,Communication,East Blue Saga,Orange Town,False
4,nami,buggy pirates,Indirect,East Blue Saga,Orange Town,False
4,zoro,buggy pirates,Confrontation,East Blue Saga,Orange Town,False
4,buggy pirates,zoro,Communication,East Blue Saga,Orange Town,False
4,shanks,lucky roux,Communication,East Blue Saga,Orange Town,False
